run_index,Latency,Throughput,gc_collection_count,gc_collection_time,jvm_loaded_class_count,jvm_total_loaded_class_count,last_gc_info_duration,memory_heap_usage_used,memory_non_heap_usage_used,network_request_FetchConsumer_ResponseSendTimeMs,network_request_FetchConsumer_TotalTimeMs,network_request_Produce_ResponseSendTimeMs,network_request_Produce_TemporaryMemoryBytes,network_request_Produce_TotalTimeMs,network_socket_FetchConsumer_NetworkProcessorAvgIdlePercent,network_socket_FetchConsumer_RequestHandlerAvgIdlePercent,os_committed_vm_size,os_open_fd_count,os_process_cpu_load,os_process_cpu_time,os_system_cpu_load,server_broker_topics_AllTopicsBytesIn,server_broker_topics_AllTopicsBytesOut,server_broker_topics_AllTopicsMessagesIn,server_broker_topics_TotalFetchRequestsPerSec,server_broker_topics_TotalProduceRequestsPerSec,server_purgatory_NumDelayedFetchRequests,threading_thread_count
616,3.6,0.02,6.6,57.2,7002.97,7132.4,12.12,182052577.3,71551294.06,56122.5,56119.0,4154.5,1911.1,4153.5,0.88,0.99,7354925484.22,190.93,0.02,13107000000.0,0.53,4342.17,181133.15,15.79,79.48,7.99,26.18,68.75
617,2.95,0.03,6.9,71.4,7000.99,7129.9,17.14,183340507.63,71760377.74,52778.5,52774.5,8274.5,991.04,8274.0,0.89,0.99,7353002952.15,189.97,0.02,13693000000.0,0.59,5530.46,252822.88,16.71,73.26,16.64,28.03,68.69
618,1.22,0.04,6.3,61.2,7001.34,7128.9,14.63,186105824.56,71826180.72,54924.0,54920.5,4043.0,,4043.0,0.89,0.99,7354229362.81,190.36,0.02,13398000000.0,0.54,15561.69,738505.47,16.36,85.02,8.27,25.57,68.58
619,3.13,0.03,6.1,64.8,7018.2,7145.6,20.15,201488485.5,71650986.53,57752.5,57749.0,4231.0,1902.24,4231.0,0.89,0.99,7355288197.43,190.86,0.02,13224000000.0,0.53,4619.52,201319.73,16.52,84.12,8.37,26.69,68.78
620,1.22,0.04,6.5,74.2,6993.84,7121.0,18.88,182271132.66,71752157.91,53137.5,53131.5,3942.0,,3941.5,0.89,0.99,7353639396.07,190.33,0.02,12995000000.0,0.54,13970.45,735882.68,14.68,84.14,7.43,25.02,68.61
621,3.23,0.03,6.3,48.9,7013.18,7146.1,12.26,190030479.3,71654760.48,55697.0,55691.0,4066.5,1892.53,4065.5,0.89,0.99,7354517203.01,191.2,0.02,12954000000.0,0.53,4432.31,193179.0,16.08,81.96,8.17,27.19,68.71
622,2.96,0.03,6.5,58.8,6954.56,7108.7,10.65,185940452.45,71371800.43,55600.5,55598.5,8212.0,991.31,8211.5,0.87,0.99,7346723960.78,189.12,0.02,13642000000.0,0.54,5052.62,220574.02,15.27,76.41,15.2,23.66,68.43
623,2.19,0.03,6.8,53.1,7005.81,7134.4,12.54,182517404.84,71805623.23,58115.0,58113.0,8369.5,994.83,8369.5,0.89,0.99,7354093723.15,191.14,0.02,13992000000.0,0.56,7254.15,328073.7,16.59,87.92,16.48,26.84,68.65
624,1.15,1.54,6.8,86.0,7007.9,7133.1,16.8,181991306.84,71909794.29,59725.5,59717.0,8181.5,,8181.0,0.89,0.99,7354206611.39,190.39,0.02,14197000000.0,0.58,14720.84,698927.81,15.03,84.78,14.95,26.23,68.57
625,1.17,0.04,6.6,54.4,6998.04,7126.1,11.79,184597969.13,71877722.24,55688.5,55684.0,5424.5,,5424.0,0.89,0.99,7354377445.62,190.24,0.02,13607000000.0,0.55,14475.5,762598.42,15.06,86.32,10.16,25.31,68.64
